,cls,duration,pps,bps,max_flowiat,mean_flowiat,has_active,has_std_active,has_fiat,has_biat,has_min_flowiat,has_std_flowiat,has_mean_fiat,has_mean_biat
0,2,9368711.0,10.3536121458,4802.6884381427,1523088.0,97590.7395833333,1,1,1,1,1,1,1,1
1,2,7340238.0,11.5800059889,4340.1862446422,1517774.0,87383.7857142857,1,1,1,1,1,1,1,1
2,2,4644225.0,11.412022458,4161.5124159575,1079974.0,89312.0192307692,1,0,1,1,1,1,1,1
3,2,4978735.0,8.0341693221,3918.6660868675,2441990.0,127659.871794872,1,1,1,1,1,1,1,1
4,2,11838189.0,7.6025142021,2802.5401520452,3042717.0,133013.359550562,1,1,1,1,1,1,1,1
5,2,11771793.0,8.1550873346,3683.2961639743,2964504.0,123913.610526316,1,1,1,1,1,1,1,1
6,2,13978645.0,8.6560607269,3046.003385879,2064514.0,116488.708333333,1,1,1,1,1,1,1,1
7,2,13942087.0,8.4635822456,3683.8817603132,2375478.0,119163.136752137,1,1,1,1,1,1,1,1
8,2,7863522.0,8.2660161693,3567.8669176484,2017289.0,122867.53125,1,1,1,1,1,1,1,1
9,2,8259704.0,6.9009736911,2352.3845406567,2270116.0,147494.714285714,1,1,1,1,1,1,1,1
10,2,9501115.0,6.3150482864,2260.3662833257,4049808.0,161035.847457627,1,1,1,1,1,1,1,1
11,2,5545334.0,7.3936033429,3556.6838715215,2297754.0,138633.35,1,1,1,1,1,1,1,1
12,2,3483711.0,13.7784104365,5734.6892437404,851636.0,74121.5106382979,0,0,1,1,1,1,1,1
13,2,12128582.0,4.2049433314,1559.2919271189,7918721.0,242571.64,1,1,1,1,1,1,1,1
14,2,216249.0,50.8672872476,17313.3748595369,137318.0,21624.9,0,0,1,1,1,1,1,1
15,2,14701087.0,6.5301293707,2336.9700485413,5881355.0,154748.284210526,1,1,1,1,1,1,1,1
16,2,10300439.0,9.4170743596,4264.8667692707,2979791.0,107296.239583333,1,1,1,1,1,1,1,1
17,2,13779710.0,1.378838887,564.888520876,13047812.0,765539.444444445,1,0,1,1,1,1,1,1
18,2,620945.0,45.0925605327,21336.8333749366,138002.0,22997.962962963,0,0,1,1,1,1,1,1
19,2,244971.0,8.1642316846,351.0619624364,244971.0,244971.0,0,0,0,0,1,0,0,0
20,2,58053.0,34.4512772811,1481.4049230875,58053.0,58053.0,0,0,0,0,1,0,0,0
21,2,54824.0,36.480373559,2808.988764045,54824.0,54824.0,0,0,0,0,1,0,0,0
22,2,57245.0,34.9375491309,2323.3470172068,57245.0,57245.0,0,0,0,0,1,0,0,0
23,2,58983.0,33.9080752081,1458.0472339488,58983.0,58983.0,0,0,0,0,1,0,0,0
24,2,56720.0,35.2609308886,2715.0916784203,56720.0,56720.0,0,0,0,0,1,0,0,0
25,2,59817.0,33.435311032,2223.4481836267,59817.0,59817.0,0,0,0,0,1,0,0,0
26,2,10758874.0,0.3717861181,42.4765639973,10531933.0,3586291.33333333,1,0,1,1,1,1,0,0
27,2,12888333.0,0.6207164262,64.3993292228,12492923.0,1841190.42857143,1,0,1,1,1,1,1,1
28,2,57532.0,34.7632621845,1494.8202739345,57532.0,57532.0,0,0,0,0,1,0,0,0
29,2,55025.0,36.3471149478,2798.7278509768,55025.0,55025.0,0,0,0,0,1,0,0,0
30,2,57059.0,35.0514379852,2330.9206260187,57059.0,57059.0,0,0,0,0,1,0,0,0
31,2,11878561.0,1.0102233764,81.4071670803,3465678.0,1079869.18181818,1,1,1,1,1,1,1,1
32,2,57471.0,34.8001600807,1496.4068834717,57471.0,57471.0,0,0,0,0,1,0,0,0
33,2,55030.0,36.3438124659,2798.4735598764,55030.0,55030.0,0,0,0,0,1,0,0,0
34,2,57023.0,35.0735668064,2332.392192624,57023.0,57023.0,0,0,0,0,1,0,0,0
35,2,11390324.0,1.2291134124,102.1042070445,8408489.0,876178.769230769,1,1,1,1,1,1,1,1
36,2,12021295.0,0.9982285602,83.6016419196,9803389.0,1092845.0,1,1,1,1,1,1,1,1
37,2,57811.0,34.5954922074,1487.6061649167,57811.0,57811.0,0,0,0,0,1,0,0,0
38,2,56208.0,35.5821235411,2739.8235126672,56208.0,56208.0,0,0,0,0,1,0,0,0
39,2,60344.0,33.1433116797,2204.0302267003,60344.0,60344.0,0,0,0,0,1,0,0,0
40,2,8194952.0,1.7083687616,171.9351132258,5404093.0,630380.923076923,1,1,1,1,1,1,1,1
41,2,57536.0,34.7608453838,1494.7163515017,57536.0,57536.0,0,0,0,0,1,0,0,0
42,2,55429.0,36.0821952408,2778.3290335384,55429.0,55429.0,0,0,0,0,1,0,0,0
43,2,57572.0,34.7391092892,2310.1507677343,57572.0,57572.0,0,0,0,0,1,0,0,0
44,2,5873562.0,1.3620355076,140.8004205966,5480150.0,839080.285714286,1,0,1,1,1,1,1,1
45,2,57422.0,34.8298561527,1497.6838145659,57422.0,57422.0,0,0,0,0,1,0,0,0
46,2,54937.0,36.4053370224,2803.2109507254,54937.0,54937.0,0,0,0,0,1,0,0,0
47,2,181425.0,11.0238390519,1025.2170318313,181425.0,181425.0,0,0,0,0,1,0,0,0
48,2,9096970.0,0.6595602712,73.9806770826,8743412.0,1819394.0,1,0,1,1,1,1,1,1
49,2,8757913.0,0.9134596336,98.6536404278,8058185.0,1251130.42857143,1,0,1,1,1,1,1,1
50,2,57636.0,34.7005343882,1492.1229786939,57636.0,57636.0,0,0,0,0,1,0,0,0
51,2,54889.0,36.4371732041,2805.6623367159,54889.0,54889.0,0,0,0,0,1,0,0,0
52,2,57271.0,34.9216881144,2322.2922596078,57271.0,57271.0,0,0,0,0,1,0,0,0
53,2,13147941.0,0.9126904357,100.319890392,10144287.0,1195267.36363636,1,1,1,1,1,1,1,1
54,2,11718031.0,1.1947399695,123.9116025551,8949375.0,901387.0,1,1,1,1,1,1,1,1
55,2,57780.0,34.6140533056,1488.4042921426,57780.0,57780.0,0,0,0,0,1,0,0,0
56,2,54803.0,36.494352499,2810.0651424192,54803.0,54803.0,0,0,0,0,1,0,0,0
57,2,57401.0,34.842598561,2317.0328043066,57401.0,57401.0,0,0,0,0,1,0,0,0
58,2,14846225.0,0.538857521,48.6992484622,11381740.0,2120889.28571429,1,1,1,1,1,1,1,1
59,2,12042383.0,0.9964805139,79.801481152,5173637.0,1094762.09090909,1,1,1,1,1,1,1,1
60,2,57609.0,34.7167977226,1492.8223020709,57609.0,57609.0,0,0,0,0,1,0,0,0
61,2,54473.0,36.7154370055,2827.0886494227,54473.0,54473.0,0,0,0,0,1,0,0,0
62,2,57010.0,35.0815646378,2332.9240484126,57010.0,57010.0,0,0,0,0,1,0,0,0
63,2,178583.0,11.199274287,481.5687943421,178583.0,178583.0,0,0,0,0,1,0,0,0
64,2,13344534.0,0.7493704913,66.46916258,8013859.0,1482726.0,1,1,1,1,1,1,1,1
65,2,57418.0,34.8322825595,1497.7881500575,57418.0,57418.0,0,0,0,0,1,0,0,0
66,2,55038.0,36.3385297431,2798.0667902177,55038.0,55038.0,0,0,0,0,1,0,0,0
67,2,57120.0,35.0140056022,2328.431372549,57120.0,57120.0,0,0,0,0,1,0,0,0
68,2,2584495.0,1.547691135,91.3137769661,2241572.0,861498.333333333,1,0,1,1,1,1,0,0
69,2,11273409.0,0.7096345036,82.3176024218,10878343.0,1610487.0,1,0,1,1,1,1,1,1
70,2,67336.0,29.7017939884,1277.1771414994,67336.0,67336.0,0,0,0,0,1,0,0,0
71,2,66827.0,29.9280231044,2304.4577790414,66827.0,66827.0,0,0,0,0,1,0,0,0
72,2,65884.0,30.3563839475,2018.6995325117,65884.0,65884.0,0,0,0,0,1,0,0,0
73,2,12555431.0,1.5132893486,140.2580285774,5431928.0,697523.944444445,1,1,1,1,1,1,1,1
74,2,57568.0,34.7415230684,1493.88549194,57568.0,57568.0,0,0,0,0,1,0,0,0
75,2,54832.0,36.4750510651,2808.5789320105,54832.0,54832.0,0,0,0,0,1,0,0,0
76,2,57503.0,34.7807940455,2312.9228040276,57503.0,57503.0,0,0,0,0,1,0,0,0
77,2,1124443.0,2.667987617,112.0554799132,1066808.0,562221.5,1,0,0,1,1,1,0,0
78,2,13873956.0,0.864929945,69.554783077,11373242.0,1261268.72727273,1,1,1,1,1,1,1,1
79,2,56719.0,35.2615525662,2715.1395475943,56719.0,56719.0,0,0,0,0,1,0,0,0
80,2,57410.0,34.8371363874,2316.6695697614,57410.0,57410.0,0,0,0,0,1,0,0,0
81,2,6066303.0,0.9890702789,96.7640422841,5710262.0,1213260.6,1,0,1,1,1,1,1,1
82,2,44775.0,67.0016750419,9313.2328308208,44716.0,22387.5,0,0,0,1,1,1,0,0
83,2,54843.0,36.4677351713,2808.0156081907,54843.0,54843.0,0,0,0,0,1,0,0,0
84,2,57021.0,35.0747970046,2332.4740008067,57021.0,57021.0,0,0,0,0,1,0,0,0
85,2,2431381.0,1.6451555721,97.0641787527,2087999.0,810460.333333333,1,0,1,1,1,1,0,0
86,2,54561.0,36.6562196441,2822.5289125933,54561.0,54561.0,0,0,0,0,1,0,0,0
87,2,58175.0,34.3790287924,2286.205414697,58175.0,58175.0,0,0,0,0,1,0,0,0
88,2,14782064.0,0.5411964121,78.9470266128,14373450.0,2111723.42857143,1,0,1,1,1,1,1,1
89,2,14120653.0,0.5665460372,50.3517790572,8278177.0,2017236.14285714,1,1,1,1,1,1,1,1
90,2,55688.0,35.9143801178,2765.4072690705,55688.0,55688.0,0,0,0,0,1,0,0,0
91,2,56970.0,35.1061962436,2334.5620502019,56970.0,56970.0,0,0,0,0,1,0,0,0
92,2,13398746.0,0.8209723507,68.8870436084,6086497.0,1339874.6,1,1,1,1,1,1,1,1
93,2,12574025.0,1.1134064073,113.5674535401,5911281.0,967232.692307692,1,1,1,1,1,1,1,1
94,2,54881.0,36.4424846486,2806.0713179425,54881.0,54881.0,0,0,0,0,1,0,0,0
95,2,57517.0,34.7723281812,2312.359824052,57517.0,57517.0,0,0,0,0,1,0,0,0
96,2,54826.0,36.4790427899,2808.8862948236,54826.0,54826.0,0,0,0,0,1,0,0,0
97,2,57197.0,34.9668688917,2325.2967812997,57197.0,57197.0,0,0,0,0,1,0,0,0
98,2,57.0,35087.7192982456,1403508.77192982,57.0,57.0,0,0,0,0,1,0,0,0
99,2,10492569.0,0.7624443547,66.8091865777,7484463.0,1498938.42857143,1,1,1,1,1,1,1,1
100,2,4263903.0,1.8762152891,198.4097668263,3747353.0,609129.0,1,0,1,1,1,1,1,1
101,2,55711.0,35.8995530506,2764.2655848935,55711.0,55711.0,0,0,0,0,1,0,0,0
102,2,57312.0,34.896705751,2320.63093244,57312.0,57312.0,0,0,0,0,1,0,0,0
103,2,10696889.0,1.1218214941,87.5955616628,4188586.0,972444.454545455,1,1,1,1,1,1,1,1
104,2,56642.0,35.3094876593,2718.8305497687,56642.0,56642.0,0,0,0,0,1,0,0,0
105,2,57670.0,34.6800762962,2306.2250736952,57670.0,57670.0,0,0,0,0,1,0,0,0
106,2,12980608.0,1.3866838903,141.6728707931,8007925.0,763565.176470588,1,1,1,1,1,1,1,1
107,2,54856.0,36.4590928978,2807.3501531282,54856.0,54856.0,0,0,0,0,1,0,0,0
108,2,57507.0,34.7783748065,2312.7619246353,57507.0,57507.0,0,0,0,0,1,0,0,0
109,2,13339144.0,0.8996079509,105.7039342255,6103954.0,1212649.45454545,1,1,1,1,1,1,1,1
110,2,55543.0,36.0081378392,2772.6266136147,55543.0,55543.0,0,0,0,0,1,0,0,0
111,2,58629.0,34.1128110662,2268.501935902,58629.0,58629.0,0,0,0,0,1,0,0,0
112,2,13243257.0,1.8122430154,177.4487952624,4486220.0,575793.782608696,1,1,1,1,1,1,1,1
113,2,55159.0,36.2588154245,2791.9287876865,55159.0,55159.0,0,0,0,0,1,0,0,0
114,2,352982.0,16.9980338941,1895.2807791899,171719.0,70596.4,0,0,1,1,1,1,1,1
115,2,57142.0,35.0005250079,2327.5349130237,57142.0,57142.0,0,0,0,0,1,0,0,0
116,2,177771.0,11.2504289226,483.7684436719,177771.0,177771.0,0,0,0,0,1,0,0,0
117,2,14230956.0,9.2052845923,4326.4837583645,2839039.0,109468.892307692,1,1,1,1,1,1,1,1
118,2,14824509.0,12.0071430359,4403.1137894685,2208529.0,83754.2881355932,1,1,1,1,1,1,1,1
119,2,14509827.0,9.5107956835,4253.255397187,2894590.0,105911.145985401,1,1,1,1,1,1,1,1
